Photo Editor,65000,male,14
associate producer,65000,female,13
Staff Writer,65000,male,10
Reporter,65000,female,8
Staff Writer,65000,male,8
Audience Editor,65000,female,8
Reporter,65000,female,6
Staff writer,65000,female,6
National Reporter,65000,female,6
Senior Editor,65000,female,6
Associate Writer,65000,female,6
State beat reporter,65000,female,6
Reporter,65000,female,6
Senior Editor,65000,male,5
Assignment Editor,65000,male,5
Reporter,65000,female,5
Sr. Digital Editor,65000,female,5
Audience and Growth Manager,65000,female,5
Staff writer,65000,female,5
Staff writer,65000,female,5
Editor,65000,female,5
Editor,65000,female,5
Online Engagement Manager,65000,female,5
Reporter,65000,male,4.5
Digital producer,65000,male,4
Social Media Editor,65000,female,4
Senior Social Editor,65000,female,4
Sportswriter,65000,male,4
Digital Editor ,65000,female,4
Photojournalist,65000,female,3.5
Associate Producer,65000,female,3.5
Reporter,65000,female,3
Program Manager,65000,female,3
Senior Editor,65000,female,3
Video Senior Producer,65000,male,3
Researcher,65000,female,3
Digital Multimedia Journalist,65000,female,3
Vertical Managing Editor,65000,female,3
Editorial Researcher,65000,female,3
Digital Producer,65000,female,3
Multiplatform editor,65000,male,2
Multimedia Producer,65000,female,2
Producer,65000,female,2
Reporter,65000,female,2
Program Manager,65000,female,2
Reporter,65000,female,2
News Assistant ,65000,female,2
Associate Video Journalist,65000,female,2
Content Strategy Manager,65000,female,1
Social Media Producer,65300,male,20
Producer,66000,male,20
Staff editor,66000,male,12
Reporter,66000,female,8
Writer,66000,female,8
social and online editing,66000,female,7
Senior Associate News Editor,66000,female,6
Reporter,66000,female,5
Editorial Curator,66000,female,5
Staff Writer,66000,female,4
Designer Developer,66800,male,9
Deputy Editor,66800,female,3
Senior Writer,67000,male,15
Assistant Marketing Manager,67000,female,10
Reporter,67000,female,10
Communications and media relations,67000,female,9.5
Staff Writer 2,67000,female,8
Video producer,67000,female,8
Reporter,67000,male,7
Associate Editor,67000,female,7
Producer,67000,female,7
IT Tech Support III,67000,male,5
News Leader,67000,male,5
Assistant Opinion Editor Opinion Writer,67000,female,3
Audience,67000,female,2
Producer,67300,female,5
Reporter,67500,female,5
Reporter,67500,male,5
Reporter,67500,female,4
Staff writer,68000,female,14
Associate digital line producer,68000,male,11
